reward_today,future_today,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.07323539999197237,,0.013020699989283457,0.07323539999197237,1.0082015999942087,1.0082015999942087,1.0748707999882754,1.7131515000073705,l,0.691917399992235,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
27,50,21,0,1,1,2,1.7286259999964386,,1.7145543999795336,1.7286259999964386,2.72455670000636,2.72455670000636,2.7411280999949668,3.5433377999870572,l,0.8018670000019483,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
49,60,89,0,2,2,4,3.5577689000056125,,3.544536800007336,3.5577689000056125,4.558038799994392,4.558038799994392,4.558038799994392,5.0107232999871485,l,0.4440744000021368,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
11,30,7,0,3,3,0,5.024254999996629,,5.011642800003756,5.024254999996629,6.024492600001395,6.024492600001395,6.024492600001395,7.3757010999834165,t,1.343183199991472,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
15,35,13,0,4,4,1,7.391042300005211,,7.3765791000041645,7.391042300005211,8.39088609997998,8.39088609997998,8.39088609997998,9.725983399985125,t,1.3332973000069614,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
67,75,119,0,5,5,5,9.740887099993415,,9.726697899983265,9.740887099993415,10.740873100003228,10.740873100003228,10.740873100003228,11.50899629999185,l,0.758377299993299,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
40,55,62,0,6,6,3,11.524196299986215,,11.509865300002275,11.524196299986215,12.524323899997398,12.524323899997398,12.524323899997398,13.30992279999191,l,0.7753397999913432,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
67,75,119,1,0,7,5,13.324241399997845,,13.311281200003577,13.324241399997845,14.324404099985259,14.324404099985259,14.324404099985259,15.009708800003864,l,0.6697064000181854,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
40,55,62,1,1,8,3,15.028412199986633,,15.011145900003612,15.028412199986633,16.024719099979848,16.024719099979848,16.041167499992298,16.99323649998405,l,0.9660884000186343,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
27,50,21,1,2,9,2,17.009959699993487,,16.994728699995903,17.009959699993487,18.0076939999999,18.0076939999999,18.024351700005354,18.792664099979447,t,0.7778312000154983,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
78,80,162,1,3,10,6,18.809995299990987,,18.793973499996355,18.809995299990987,19.80742860000464,19.80742860000464,19.824435699993046,20.34295540000312,l,0.5323343000200111,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
49,60,89,1,4,11,4,20.35882789999596,,20.344394799991278,20.35882789999596,21.357797599979676,21.357797599979676,21.374224200000754,22.142227100004675,l,0.7711303000105545,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
11,30,7,1,5,12,0,22.159703299985267,,22.143531999987317,22.159703299985267,23.157743999996455,23.157743999996455,23.17414899999858,23.826077100005932,t,0.6582379000028595,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
15,35,13,1,6,13,1,23.843413900001906,,23.82769829998142,23.843413900001906,24.84075499998289,24.84075499998289,24.857417199993506,25.642791899997974,t,0.7945271999924444,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
27,50,21,2,0,14,2,25.65963959999499,,25.64388129999861,25.65963959999499,26.65754299997934,26.65754299997934,26.673921999987215,27.075973500002874,t,0.40084529999876395,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
40,55,62,2,1,15,3,27.09245219998411,,27.077418100001523,27.09245219998411,28.09058359998744,28.09058359998744,28.10740419998183,28.543079600000056,l,0.4425195000076201,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
15,35,13,2,2,16,1,28.562112699990394,,28.544411799986847,28.562112699990394,29.557563099981053,29.557563099981053,29.57401189999655,30.27659819999826,t,0.7158396000158973,None,328011,001,2024-11-12_08h44.52.168,PRIYANSHI.AU2220101_DELAY.DISCOUNTING,2024.1.5,None,2024-11-12 08h45.00.213991 +0530,
